model_code,my,model_desc,section,type,program_id,program_name,amount_cash,end_date
90492A45,2026,2026 SANTA CRUZ SEL ACTIVITY AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2026 SANTA CRUZ Retail Bonus Cash ,1750,4/30/2026
90472AT5,2026,2026 SANTA CRUZ LIMITED AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2027 SANTA CRUZ Retail Bonus Cash ,1750,4/30/2026
90462AT5,2026,2026 SANTA CRUZ XRT AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2028 SANTA CRUZ Retail Bonus Cash ,1750,4/30/2026
90432A45,2026,2026 SANTA CRUZ SEL AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2029 SANTA CRUZ Retail Bonus Cash ,1750,4/30/2026
90402A45,2026,2026 SANTA CRUZ SE AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2030 SANTA CRUZ Retail Bonus Cash ,1750,4/30/2026
654M2FBS,2026,2026 SANTA FE HYBRID CALLIGRAPHY FWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2026 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654M2ABS,2026,2026 SANTA FE HYBRID CALLIGRAPHY AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2027 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654J2FBS,2026,2026 SANTA FE HYBRID LIMITED FWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2028 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654J2ABS,2026,2026 SANTA FE HYBRID LIMITED AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2029 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654F2FBS,2026,2026 SANTA FE HYBRID SEL FWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2030 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654F2ABS,2026,2026 SANTA FE HYBRID SEL AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2031 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654E2FBS,2026,2026 SANTA FE HYBRID SE FWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2032 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654E2ABS,2026,2026 SANTA FE HYBRID SE AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2033 SANTA FE HYBRID Retail Bonus Cash ,2000,4/30/2026
654C2AT5,2026,2026 SANTA FE CALLIGRAPHY 2.5T AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2034 SANTA FE Retail Bonus Cash ,1700,4/30/2026
65492AT5,2026,2026 SANTA FE LIMITED 2.5T AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2035 SANTA FE Retail Bonus Cash ,1700,4/30/2026
65462AT5,2026,2026 SANTA FE XRT 2.5T AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2036 SANTA FE Retail Bonus Cash ,1700,4/30/2026
65432AT5,2026,2026 SANTA FE SEL 2.5T AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2037 SANTA FE Retail Bonus Cash ,1700,4/30/2026
65402AT5,2026,2026 SANTA FE SE 2.5T AWD,Retail Bonus Cash ,Retail Bonus Cash ,x,2038 SANTA FE Retail Bonus Cash ,1700,4/30/2026
,,,,,,,v,
